ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly,monthly,quarterly,semi_annual,software_product,active_merchant,y,forecast_date,is_forecast,confidence_width,residual,abs_error,pct_error
2024-01-28,142.82077411108338,47.669711058438374,242.51546174583137,148.43757532350656,-32.80401190565208,299.9033844144354,54.5531754809402,-16.415397715646154,-310.8539514865005,Retail,187401.0,129.0,2025-06-23 10:43:37.123153,False,194.845750687393,-13.82077411108338,13.82077411108338,-10.71377838068479
2024-01-29,64.46405010622904,0.0,165.76033685383382,148.71600070803206,-99.34608471047746,299.9130222115114,34.12729213684407,-36.55417329470733,-282.3920069449736,Retail,187306.0,100.0,2025-06-23 10:43:37.123153,False,165.76033685383382,35.53594989377096,35.53594989377096,35.53594989377096
2024-01-30,215.75983314487803,113.73866507361556,318.4649293623292,148.99442607935865,47.17571783629836,288.9289642951219,21.924684545218778,-44.82492498263054,-246.43903462848917,Retail,187420.0,206.0,2025-06-23 10:43:37.123153,False,204.72626428871365,-9.75983314487803,9.75983314487803,-4.737783080037879
2024-01-31,203.54265949260633,103.05744078290522,299.00352651372106,149.27285145068524,31.433868260598558,266.25467626112885,3.991348571015608,-44.45632612445478,-202.95375892636704,Retail,187661.0,289.0,2025-06-23 10:43:37.123153,False,195.94608573081584,85.45734050739367,85.45734050739367,29.570014016399192
2024-02-01,185.65826895604593,85.09715238200593,283.14709092987647,149.55127682201183,22.012058999820667,231.42376093761632,-25.849477463289126,-39.450332579594416,-152.02901776051925,Retail,187781.0,177.0,2025-06-23 10:43:37.123153,False,198.04993854787054,-8.65826895604593,8.65826895604593,-4.891677376297135
2024-02-02,178.5884283195673,84.73037172795563,273.7397148712201,149.82970219333842,18.56565037752683,184.21562388012651,-46.323796826673664,-33.80191353091655,-93.89683777383426,Retail,187839.0,167.0,2025-06-23 10:43:37.123153,False,189.00934314326446,-11.5884283195673,11.5884283195673,-6.939178634471436
2024-02-03,179.86695012989165,80.61261252360659,277.6036822388865,150.108127564665,12.96280114147301,124.66656361004364,-48.201776243555415,-30.73773854536351,-28.93102739737121,Retail,187925.0,189.0,2025-06-23 10:43:37.123153,False,196.99106971527993,9.133049870108351,9.133049870108351,4.832301518575847
2024-02-04,136.38977441654404,40.60016285994425,236.5223605805342,150.38655293599163,-32.80401190535536,53.07602281635965,-44.518056522141435,-32.10356456276415,42.352831654453716,Retail,187941.0,153.0,2025-06-23 10:43:37.123153,False,195.92219772058996,16.610225583455957,16.610225583455957,10.85635659049409
2024-02-05,66.55759140840706,0.0,166.34090331047827,150.6649783073182,-99.34608471039864,-29.992173446551863,-36.06414765402921,-38.005047217572574,119.30006612964137,Retail,187869.0,89.0,2025-06-23 10:43:37.123153,False,166.34090331047827,22.442408591592937,22.442408591592937,25.21618942875611
2024-02-06,201.3943940233024,101.7188757931538,305.5108697670144,150.94340367864478,47.17571783635654,-123.7136731603991,-12.139179912392983,-46.764023433768244,201.1222880148614,Retail,188104.0,174.0,2025-06-23 10:43:37.123153,False,203.7919939738606,-27.394394023302397,27.394394023302397,-15.743904611093331
2024-02-07,211.21052969418741,108.21107539163991,310.42765131687383,151.22182904997138,31.43386826060589,-227.01253175726904,19.598545590535497,-55.19909642695559,286.90543707729927,Retail,188364.0,206.0,2025-06-23 10:43:37.123153,False,202.21657592523394,-5.210529694187414,5.210529694187414,-2.5293833466929194
2024-02-08,177.51177591973456,78.04019647267087,278.16507377348364,151.50025442129797,22.0120589999373,-338.5751157190312,43.42269930227219,-59.18450272668413,375.6204086419425,Retail,188414.0,169.0,2025-06-23 10:43:37.123153,False,200.12487730081278,-8.51177591973456,8.51177591973456,-5.036553798659503
2024-02-09,188.91126527418444,89.22597792070209,287.94260046858227,151.7786797926246,18.56565037745858,-456.86877195821654,60.43658749835557,-54.3939493188375,466.1361355827998,Retail,188479.0,186.0,2025-06-23 10:43:37.123153,False,198.71662254788018,-2.9112652741844443,2.9112652741844443,-1.5651963839701313
2024-02-10,163.89164818032287,66.81876101496678,267.8374090467666,152.05710516395118,12.962801141581913,-580.1649694306524,73.02209872810388,-37.10432516809605,557.2349447454342,Retail,188411.0,158.0,2025-06-23 10:43:37.123153,False,201.0186480317998,-5.891648180322875,5.891648180322875,-3.728891253368908
2024-02-11,127.00553595734706,21.0369336490056,230.7090892689474,152.33553053527777,-32.80401190538539,-706.5665343210278,71.3338704000136,-4.92328070267054,647.6299619511395,Retail,188376.0,136.0,2025-06-23 10:43:37.123153,False,209.6721556199418,8.994464042652936,8.994464042652936,6.613576501950688
2024-02-12,54.86298300175265,0.0,156.71760578171907,152.61395590660436,-99.34608471041808,-834.0385216574297,56.96584779295836,42.68348843504749,735.98429723499,Retail,188199.0,83.0,2025-06-23 10:43:37.123153,False,156.71760578171907,28.137016998247347,28.137016998247347,33.90002047981608
2024-02-13,208.48950331900608,107.95796858207717,306.56166058991147,152.89238127791353,47.17571783641473,-960.4421957695209,43.775150082994834,104.15674597937391,820.9317039118303,Retail,188237.0,198.0,2025-06-23 10:43:37.123153,False,198.6036920078343,-10.489503319006076,10.489503319006076,-5.297728948992968
2024-02-14,203.69618017665897,103.31787007050929,299.6579344958813,153.17080664922267,31.433868260491636,-1083.5715309088685,25.621249628190014,175.94341436787653,901.0983721797465,Retail,188376.0,239.0,2025-06-23 10:43:37.123153,False,196.34006442537202,35.30381982334103,35.30381982334103,14.771472729431393
2024-02-15,193.4519789556861,94.31209631485105,294.3701280155362,153.44923202053184,22.012058999875066,-1201.1915927185182,-8.86258383458882,252.91937352194284,975.1254909664435,Retail,188337.0,194.0,2025-06-23 10:43:37.123153,False,200.05803170068515,0.5480210443139129,0.5480210443139129,0.28248507438861487
2024-02-16,198.5244642402981,102.01680680338715,300.7721445975153,153.72765739184095,18.56565037732883,-1311.0781219902215,-33.45250973254277,329.0695970666794,1041.6921911272132,Retail,188436.0,213.0,2025-06-23 10:43:37.123153,False,198.75533779412814,14.475535759701899,14.475535759701899,6.796026178263801
2024-02-17,233.1491119613534,132.7248462579225,328.9444944296927,154.00608276315012,12.962801141507999,-1411.0576150303914,-20.617613617207688,398.31698730102005,1099.5384694032743,Retail,188495.0,244.0,2025-06-23 10:43:37.123153,False,196.21964817177022,10.850888038646588,10.850888038646588,4.447085261740405
2024-02-18,216.86884085226308,119.72178826266193,316.02025530420804,154.2845081344593,-32.80401190541543,-1499.0471804740487,-8.418506749221535,455.3663457960223,1147.4876860504671,Retail,188472.0,304.0,2025-06-23 10:43:37.123153,False,196.2984670415461,87.13115914773692,87.13115914773692,28.66156550912399
2024-02-19,112.10983983858628,13.979216037634014,217.02846029175706,154.56293350576843,-99.34608471033926,-1573.0934508224964,-50.90890341861936,496.4271153378961,1184.4682299463766,Retail,188471.0,89.0,2025-06-23 10:43:37.123153,False,203.04924425412304,-23.109839838586282,23.109839838586282,-25.966112178186833
2024-02-20,184.34969199585905,87.46499416365447,287.81678837626214,154.8413588770776,47.17571783610205,-1631.4098383942203,-115.48983247419726,519.6983328120555,1209.5339533390413,Retail,188350.0,29.0,2025-06-23 10:43:37.123153,False,200.35179421260767,-155.34969199585905,155.34969199585905,-535.6885930891691
2024-02-21,141.31662167038922,39.20394802201054,237.23345573771374,155.11978424838674,31.4338682603774,-1672.4114496168359,-120.24692833872172,525.5383529800145,1221.8829941371682,Retail,188677.0,150.0,2025-06-23 10:43:37.123153,False,198.0295077157032,8.683378329610775,8.683378329610775,5.788918886407184
2024-02-22,158.6882278859339,58.55501806331922,256.19911592164027,155.3982096196959,22.012058999991698,-1694.7470082165412,-61.14348962374103,516.2938305842898,1220.8746265222387,Retail,188798.0,170.0,2025-06-23 10:43:37.123153,False,197.64409785832106,11.311772114066088,11.311772114066088,6.653983596509463
2024-02-23,170.45611250664598,75.95647686535833,267.72369840461505,155.67663499100502,18.56565037760052,-1697.3271862997074,-8.321337784428186,495.8185408693089,1206.043810352867,Retail,188983.0,138.0,2025-06-23 10:43:37.123153,False,191.76722153925672,-32.45611250664598,32.45611250664598,-23.5189221062652
2024-02-24,146.38353020895744,55.60234165945354,246.7277920030667,155.95506036231419,12.962801141434085,-1679.3488017220316,10.937778500439144,468.7635460901707,1177.113145836631,Retail,189209.0,127.0,2025-06-23 10:43:37.123153,False,191.12545034361315,-19.38353020895744,19.38353020895744,-15.26262221177751
2024-02-25,87.17487838463094,0.0,184.06258366212086,156.23348573362335,-32.804011905118685,-1640.3144094900692,30.300314583973446,439.75751779752835,1134.0019816646936,Retail,189379.0,117.0,2025-06-23 10:43:37.123153,False,184.06258366212086,29.825121615369056,29.825121615369056,25.491556936212866
